"No.","Mac Source","Mac Destination","Mac Transmitter","Mac Receiver","BSSID","Time","Ip Source","Ip Destination","Protocol","Length","Info","Retry","Rate","RSSI","Channel","Data"
"25","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","0.657926","Alfa_90:79:3e","Broadcast","802.11","187","Beacon frame, SN=2382, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-15 dBm","2462 [BG 11]",""
"26","84:16:f9:16:61:ee","ff:ff:ff:ff:ff:ff","84:16:f9:16:61:ee","ff:ff:ff:ff:ff:ff","84:16:f9:16:61:ee","0.797448","84:16:f9:16:61:ee","Broadcast","802.11","183","Beacon frame, SN=3214, FN=0, Flags=........, BI=100, SSID=wi5-aux-155","Frame is not being retransmitted","1","-65 dBm","2462 [BG 11]",""
"27","54:a2:74:1d:55:f1","ff:ff:ff:ff:ff:ff","54:a2:74:1d:55:f1","ff:ff:ff:ff:ff:ff","54:a2:74:1d:55:f1","0.814218","54:a2:74:1d:55:f1","Broadcast","802.11","295","Beacon frame, SN=1957, FN=0, Flags=........, BI=102, SSID=eduroam","Frame is not being retransmitted","1","-79 dBm","2462 [BG 11]",""
"28","00:22:6b:9c:90:c2","ff:ff:ff:ff:ff:ff","00:22:6b:9c:90:c2","ff:ff:ff:ff:ff:ff","1a:69:ce:29:7c:64","0.819169","Cisco-Li_9c:90:c2","Broadcast","802.11","93","Beacon frame, SN=1, FN=0, Flags=........, BI=100, SSID=IPSEC","Frame is not being retransmitted","1","-69 dBm","2462 [BG 11]",""
"29","b8:27:eb:28:b6:0b","2c:56:dc:26:17:77","00:c0:ca:90:79:29","00:c0:ca:90:79:3e","","0.823657","155.210.155.183","155.210.155.182","TCP","101","http > 58149 [ACK] Seq=1 Ack=1 Win=1311 Len=0","Frame is not being retransmitted","28,9","-25 dBm","2462 [BG 11]",""
"30","","","00:c0:ca:90:79:29","00:c0:ca:90:79:3e","","0.824319","Alfa_90:79:29 (TA)","Alfa_90:79:3e (RA)","802.11","46","802.11 Block Ack, Flags=........","Frame is not being retransmitted","6","-25 dBm","2462 [BG 11]",""
"31","54:a2:74:2f:29:90","01:0b:85:00:00:00","54:a2:74:2f:29:90","01:0b:85:00:00:00","","0.846272","54:a2:74:2f:29:90","Cisco_00:00:00","LLC","94","U, func=UI; SNAP, OUI 0x000B85 (Unknown), PID 0xCCCD","Frame is not being retransmitted","1","-75 dBm","2462 [BG 11]","001b0a0247fa01f41fbd0a0247fa0b1001060710100074c4..."
"32","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","0.853696","Cisco-Li_1b:d5:fe","Broadcast","802.11","204","Beacon frame, SN=2407, FN=0, Flags=........, BI=100, SSID=sterne","Frame is not being retransmitted","1","-63 dBm","2462 [BG 11]",""
"33","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","0.862823","Alfa_90:79:3e","Broadcast","802.11","187","Beacon frame, SN=2385, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-17 dBm","2462 [BG 11]",""
"34","84:16:f9:16:61:ee","ff:ff:ff:ff:ff:ff","84:16:f9:16:61:ee","ff:ff:ff:ff:ff:ff","84:16:f9:16:61:ee","1.002261","84:16:f9:16:61:ee","Broadcast","802.11","183","Beacon frame, SN=3216, FN=0, Flags=........, BI=100, SSID=wi5-aux-155","Frame is not being retransmitted","1","-67 dBm","2462 [BG 11]",""
