"No.","Mac Source","Mac Destination","Mac Transmitter","Mac Receiver","BSSID","Time","Ip Source","Ip Destination","Protocol","Length","Info","Retry","Rate","RSSI","Channel","Data"
"13583","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.071223","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-35 dBm","2462 [BG 11]","00000000000016da"
"13584","f0:f7:55:f3:c7:c4","01:00:0c:dd:dd:dd","00:c0:ca:90:79:3e","01:00:0c:dd:dd:dd","00:c0:ca:90:79:3e","105.079257","Cisco_f3:c7:c4","CGMP","CGMP","88","Cisco Group Management Protocol","Frame is not being retransmitted","1","-43 dBm","2462 [BG 11]",""
"13585","f0:f7:55:f3:c7:c4","01:00:0c:dd:dd:dd","00:c0:ca:90:79:29","01:00:0c:dd:dd:dd","00:c0:ca:90:79:29","105.080093","Cisco_f3:c7:c4","CGMP","CGMP","88","Cisco Group Management Protocol","Frame is not being retransmitted","1","-33 dBm","2462 [BG 11]",""
"13586","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.083404","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-35 dBm","2462 [BG 11]","00000000000016db"
"13587","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","105.087016","Cisco-Li_1b:d5:fe","Broadcast","802.11","204","Beacon frame, SN=2483, FN=0, Flags=........, BI=100, SSID=sterne","Frame is not being retransmitted","1","-67 dBm","2462 [BG 11]",""
"13588","84:16:f9:16:61:ee","ff:ff:ff:ff:ff:ff","84:16:f9:16:61:ee","ff:ff:ff:ff:ff:ff","84:16:f9:16:61:ee","105.088738","84:16:f9:16:61:ee","Broadcast","802.11","183","Beacon frame, SN=2281, FN=0, Flags=........, BI=100, SSID=wi5-aux-155","Frame is not being retransmitted","1","-67 dBm","2462 [BG 11]",""
"13589","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","105.090311","Alfa_90:79:29","Broadcast","802.11","187","Beacon frame, SN=101, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-33 dBm","2462 [BG 11]",""
"13590","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","105.100965","Alfa_90:79:3e","Broadcast","802.11","187","Beacon frame, SN=3910, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-41 dBm","2462 [BG 11]",""
"13591","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.104282","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","21,7","-35 dBm","2462 [BG 11]","00000000000016dc"
"13592","00:22:6b:9c:93:ba","ff:ff:ff:ff:ff:ff","00:22:6b:9c:93:ba","ff:ff:ff:ff:ff:ff","1a:69:ce:29:7c:64","105.112411","Cisco-Li_9c:93:ba","Broadcast","802.11","93","Beacon frame, SN=1, FN=0, Flags=........, BI=100, SSID=IPSEC","Frame is not being retransmitted","1","-73 dBm","2462 [BG 11]",""
"13593","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.112523","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-39 dBm","2462 [BG 11]","00000000000016dd"
"13594","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.133737","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-41 dBm","2462 [BG 11]","00000000000016de"
"13595","f0:f7:55:f3:c7:c4","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","105.135343","Cisco_f3:c7:c4","Broadcast","ARP","96","Who has 155.210.155.159?  Tell 155.210.155.254","Frame is not being retransmitted","1","-41 dBm","2462 [BG 11]",""
"13596","f0:f7:55:f3:c7:c4","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","105.136212","Cisco_f3:c7:c4","Broadcast","ARP","96","Who has 155.210.155.159?  Tell 155.210.155.254","Frame is not being retransmitted","1","-37 dBm","2462 [BG 11]",""
"13597","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.144446","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-41 dBm","2462 [BG 11]","00000000000016df"
"13598","54:a2:74:4c:8c:e1","ff:ff:ff:ff:ff:ff","54:a2:74:4c:8c:e1","ff:ff:ff:ff:ff:ff","54:a2:74:4c:8c:e1","105.153744","54:a2:74:4c:8c:e1","Broadcast","802.11","295","Beacon frame, SN=3194, FN=0, Flags=........, BI=102, SSID=eduroam","Frame is not being retransmitted","1","-73 dBm","2462 [BG 11]",""
"13599","e4:f4:c6:f4:87:ef","ff:ff:ff:ff:ff:ff","e4:f4:c6:f4:87:ef","ff:ff:ff:ff:ff:ff","e4:f4:c6:f4:87:ef","105.164914","Netgear_f4:87:ef","Broadcast","802.11","194","Beacon frame, SN=1066, FN=0, Flags=........, BI=100, SSID=wi5-unizar-156","Frame is not being retransmitted","1","-67 dBm","2462 [BG 11]",""
"13600","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.165259","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-41 dBm","2462 [BG 11]","00000000000016e0"
